LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
202,3482,100041,Primary,10,10,5,8.6,9.1,5,23.4,"£43,617"
202,3517,100042,Primary,10,9,4,9.6,7.9,4,23.3,"£45,600"
202,3521,100043,Primary,14,10,4,13.1,9.8,4,17.2,"£44,110"
202,3546,100044,Primary,8,5,2,8,4.2,2,18.4,"£46,311"
202,3560,100045,Primary,12,13,5,9.4,10.6,3.8,22.0,"£45,443"
202,3568,100046,Primary,12,15,5,9.5,11.1,3.2,21.5,"£47,900"
202,3649,100047,Primary,9,6,3,9,6,3,22.9,"£56,327"
202,3655,100048,Primary,11,6,6,11,5.9,6,19.7,"£49,170"
202,4000,137181,Secondary,93,37,35,86.5,33.7,32.5,13.1,"£45,641"
202,4104,100049,Secondary,71,19,24,69.5,17.1,22.1,13.7,"£49,446"
202,4166,100050,Secondary,82,5,25,77.9,4.8,25,15.0,"£45,185"
202,4196,100051,Secondary,70,10,28,69.4,8.9,27.5,14.5,"£43,879"
202,4275,100052,Secondary,92,19,28,90.1,15.8,23.7,14.5,"£45,698"
202,4285,100053,Secondary,82,28,26,78.4,27.4,23.4,12.9,"£45,981"
202,4611,100054,Secondary,83,12,29,63.8,8.8,22.3,16.1,"£49,134"
202,4652,100055,Secondary,56,16,20,55,16,19.7,12.9,"£46,464"
202,4688,100056,Secondary,58,9,19,54.3,7.5,16.8,15.4,"£51,492"
202,5401,100059,Secondary,84,8,25,75.1,7.1,20.6,14.3,"£48,383"
203,2018,143211,Primary,24,21,11,24,15.3,8.7,18.8,"£35,501"
203,2024,143601,Primary,16,11,9,13.2,10.5,7.8,14.8,"£52,650"
203,2028,100113,Primary,45,34,14,40,22.5,11,20.9,"£43,649"
203,2071,100114,Primary,22,24,7,20.3,17.9,5.9,20.3,"£48,193"
203,2106,100115,Primary,15,19,6,12.4,15,4.4,18.5,"£38,228"
203,2174,100120,Primary,25,30,9,22.7,16.7,6.6,18.7,"£39,750"
203,2228,100125,Primary,20,15,7,19.6,8.9,6.6,19.6,"£41,523"
203,2242,100126,Primary,22,24,3,21,17.6,3,16.4,"£44,977"
203,2258,100127,Primary,19,31,5,16.8,18.4,4.9,25.5,"£42,843"
203,2266,145210,Primary,20,21,23,17.7,15.4,20.2,16.0,"£41,543"
203,2271,100129,Primary,20,17,6,18.8,15,5,17.9,"£43,789"
203,2275,143597,Primary,21,19,9,17.8,12.7,5.4,23.4,"£34,206"
203,2299,100131,Primary,17,21,10,16.3,15.4,7.9,24.7,"£43,460"
