LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
341,2180,104596,Primary,17,6,4,15.2,4.9,3,23.4,"£37,980"
341,2199,104600,Primary,11,5,4,10.1,4.3,2.5,17.8,"£38,621"
341,2214,104610,Primary,19,18,9,18.2,12.6,7.1,21.8,"£35,689"
341,2215,104611,Primary,10,15,5,9.6,11.5,3,24.6,"£39,047"
341,2216,104612,Primary,18,10,2,17.8,8.5,2,0.0,"£33,625"
341,2218,130296,Primary,9,8,4,8.8,4.4,3.3,16.7,"£43,141"
341,2221,130395,Primary,25,23,4,22.5,17.7,2.9,19.7,"£41,882"
341,2222,131313,Primary,23,13,11,21,10,9.2,14.2,"£34,665"
341,2223,145359,Primary,18,33,9,17,30.8,8.7,26.8,"£39,213"
341,2226,131480,Primary,11,8,1,11,7.3,1,20.1,"£30,952"
341,2227,131597,Primary,19,21,4,18.5,18.6,3.3,18.1,"£35,784"
341,2229,131800,Primary,24,22,21,23.6,19.4,18.7,17.6,"£37,033"
341,2230,131818,Primary,23,25,11,21.3,19.8,6.1,20.4,"£38,623"
341,2232,132176,Primary,14,4,6,13.4,2.8,5.8,15.4,"£39,207"
341,2233,132793,Primary,23,17,5,21.7,11.9,5,18.8,"£35,304"
341,2234,132796,Primary,25,15,6,22.9,13,5.4,20.6,"£38,840"
341,2235,133332,Primary,28,17,5,27.2,17,5,16.1,"£36,851"
341,2236,133329,Primary,23,17,2,22,13.1,1.8,16.8,"£39,545"
341,2237,133330,Primary,22,21,8,20.5,17.5,6.5,21.0,"£40,122"
341,2238,133338,Primary,17,15,5,16.3,12.9,4.6,19.8,"£39,907"
341,2239,133337,Primary,13,11,4,11.4,6.8,3,18.9,"£40,634"
341,2240,133331,Primary,23,20,6,21.8,13.5,5.3,24.3,"£39,875"
341,2241,133334,Primary,22,14,6,21.4,12.6,5.1,18.8,"£36,327"
341,2242,136118,Primary,25,33,7,24.3,27.2,5.2,20.3,"£37,410"
341,3001,104613,Primary,14,12,3,13.2,9.9,2.7,20.1,"£40,915"
341,3011,141582,Primary,19,33,2,19,29.8,2,15.3,"£36,776"
341,3015,104616,Primary,13,10,3,11.6,7.8,2.6,16.1,"£38,714"
341,3020,145086,Primary,26,12,4,23.7,11.1,4,14.9,"£28,959"
341,3021,133333,Primary,22,26,5,21.2,25,4.7,25.4,"£39,106"
341,3022,133336,Primary,24,24,4,23.3,20.3,4,18.4,"£37,268"
341,3023,133335,Primary,20,15,8,20,12.3,7,20.7,"£38,747"
341,3024,133615,Primary,18,16,5,16.3,12.9,4.6,21.6,"£37,503"
341,3025,133691,Primary,14,19,6,13.1,16.7,5.5,22.7,"£34,033"
341,3026,133702,Primary,15,16,7,14.4,13.8,5.4,15.0,"£39,482"
341,3306,145438,Primary,13,13,3,10.8,8.4,2.4,19.6,"£34,344"
341,3310,104622,Primary,21,15,7,20.6,11.3,3.6,19.8,"£39,395"
341,3327,104624,Primary,8,5,3,7,4.1,2.6,30.5,"£40,477"
341,3329,104625,Primary,22,17,4,19.4,11.8,2.9,21.6,"£37,183"
341,3507,104629,Primary,19,10,5,18.5,8.6,4.4,20.4,"£33,329"
341,3511,104632,Primary,10,16,2,10,15.1,2,22.6,"£36,731"
341,3512,104633,Primary,13,4,2,13,3.4,2,13.5,"£32,938"
341,3513,104634,Primary,18,11,3,17.6,9.2,1.6,18.0,"£42,074"
341,3514,104635,Primary,10,9,4,10,6.6,3.3,24.4,"£37,986"
341,3516,104636,Primary,18,16,4,16.9,10.9,2.7,24.7,"£39,106"
341,3523,104638,Primary,20,14,5,19.2,11.6,4.5,18.3,"£37,043"
341,3527,104640,Primary,11,11,4,10.8,9.3,2.8,18.3,"£40,742"
341,3528,104641,Primary,10,8,1,9.8,6.5,0.9,19.9,"£39,250"
341,3541,104642,Primary,24,11,8,19.6,8.1,6.5,21.3,"£38,113"
341,3543,104643,Primary,22,19,8,18.4,10.9,4.5,23.1,"£42,335"
341,3547,104645,Primary,12,12,5,12,8.7,4.2,19.7,"£39,774"
341,3548,104646,Primary,10,17,2,9.6,9.1,1.7,20.0,"£34,285"
341,3550,104648,Primary,13,3,5,12,2.3,2.3,16.8,"£39,720"
341,3551,104649,Primary,12,11,7,11.5,9.3,5.8,19.5,"£38,617"
341,3552,104650,Primary,22,16,5,22,15.3,4.6,19.0,"£35,066"
341,3553,104651,Primary,27,26,5,22.8,23.1,4.9,16.5,"£37,597"
341,3558,104652,Primary,12,14,4,10.6,11.4,3.5,19.8,"£39,682"
341,3571,104656,Primary,23,22,6,23,21.8,6,17.3,"£33,083"
341,3573,104657,Primary,8,8,15,7.4,6.8,12.1,28.0,"£39,310"
341,3582,104660,Primary,12,13,4,11.5,10.9,4,20.0,"£40,027"
341,3584,104661,Primary,26,11,5,23.8,6.6,4.8,20.9,"£37,475"
341,3588,104664,Primary,12,9,4,10.7,7.3,3.9,22.4,"£40,198"
341,3594,104667,Primary,12,10,5,12,8.4,3.9,20.9,"£37,944"
341,3599,104670,Primary,9,4,2,9,4,2,16.8,"£34,527"
341,3601,104672,Primary,11,9,2,10.2,8.4,1.5,21.9,"£37,310"
341,3606,104673,Primary,18,19,4,16,16.6,3.2,22.4,"£38,500"
341,3631,104676,Primary,11,9,2,9.7,5.7,1.6,21.5,"£37,676"
341,3632,104677,Primary,10,8,8,10,6.9,5.3,19.3,"£32,620"
341,3633,104678,Primary,12,12,6,10.1,9.8,5.2,22.5,"£37,515"
341,3635,104679,Primary,17,16,4,16.1,10.5,3.4,24.0,"£36,944"
341,3644,104681,Primary,17,12,7,16.6,10.2,6.7,16.1,"£36,447"
341,3956,131105,Primary,19,20,14,17.2,13.6,6.1,26.5,"£43,608"
341,3960,131837,Primary,11,8,2,10.5,7.6,1.5,19.4,"£43,587"
341,3961,134471,Primary,22,18,5,20.6,15.3,3.3,19.1,"£37,636"
341,3963,134722,Primary,19,16,10,17.9,13.3,7.8,20.8,"£40,107"
341,3964,134723,Primary,9,6,3,9,4.6,3,20.7,"£31,141"
341,3965,135267,Primary,26,22,5,24,19.6,4.7,17.4,"£40,126"
341,3966,145360,Primary,10,11,7,9.6,8.8,5.6,24.6,"£33,387"
341,3967,136686,Primary,26,20,6,24.8,16.3,5.7,18.5,"£38,787"
341,4000,137675,Secondary,40,13,17,37,11.5,15.1,12.6,"£40,573"
341,4001,138787,Secondary,58,6,19,56.7,6,18.6,15.7,"£37,398"
341,4002,139588,Secondary,30,3,11,29,3,10.8,16.4,"£37,504"
341,4003,139589,Secondary,23,4,2,20.1,4,2,15.4,"£36,598"
341,4004,139686,All through,75,19,31,72.7,18.5,28.6,18.9,"£40,738"
341,4006,142128,Secondary,11,1,3,11,0.8,2.6,11.5,"£34,983"
341,4007,142891,16 plus,25,3,6,21.7,2.8,6,16.3,"£38,855"
341,4009,144493,Secondary,38,14,20,38,12.5,19.7,21.3,"£38,564"
341,4306,138696,Secondary,66,13,16,62.6,10.7,14.4,15.9,"£41,559"
341,4404,104688,Secondary,59,11,26,56.1,10.1,24.3,14.5,"£41,325"
341,4420,104692,Secondary,49,20,12,47.7,15.4,10.6,16.6,"£43,127"
341,4421,104693,Secondary,115,27,21,111.1,22.4,18.7,13.9,"£42,462"
341,4425,104696,Secondary,90,30,22,87.1,26.4,19.3,14.2,"£37,137"
341,4427,104698,Secondary,117,12,21,109.9,10.5,20.2,13.2,"£40,388"
341,4429,104700,Secondary,70,17,23,67.7,16.1,22.2,13.7,"£38,414"
341,4690,104703,Secondary,45,6,14,44.4,5,13.6,16.1,"£35,389"
341,4781,104705,Secondary,57,10,16,54,8,15.2,15.5,"£39,243"
341,4782,104706,Secondary,67,6,28,63.8,5.7,27.4,13.1,"£40,997"
341,4787,138183,Secondary,62,4,13,58.9,4,13,15.1,"£40,575"
341,4790,104712,Secondary,70,12,19,66.2,8.9,15.6,15.3,"£40,945"
341,4792,104713,Secondary,91,11,35,82.1,7.1,28.4,14.2,"£40,081"
341,4793,104714,Secondary,87,18,26,83.4,15.4,23.2,15.8,"£40,445"
341,4794,104715,Secondary,64,8,23,60.6,7.2,21.5,15.0,"£41,898"
341,4796,104717,Secondary,80,20,16,76.8,18.1,15.4,15.3,"£37,035"
341,4797,136409,Secondary,26,2,12,25.5,1.5,10.9,13.6,"£39,459"
341,5200,104682,Primary,18,7,2,16.1,4.8,1.5,26.6,"£41,280"
341,5400,138463,Secondary,74,8,24,68.6,5,22.3,16.4,"£41,663"
341,5402,138850,Secondary,71,11,18,64.7,8.8,16.1,15.4,"£41,936"
341,5403,104721,Secondary,64,7,26,59,6.2,23.9,16.2,"£39,586"
341,5404,137916,Secondary,66,1,19,62.7,0.5,17.5,17.7,"£41,361"
341,5900,136735,Secondary,69,13,24,62.7,9.9,18.5,17.4,"£44,052"
341,6906,131065,Secondary,101,20,39,98,20,37.7,13.5,"£37,440"
341,6907,135174,Secondary,68,4,25,63.8,3.8,21.6,14.1,"£40,909"
341,6908,136119,Secondary,45,19,17,43.9,15.6,15,16.6,"£39,868"
342,2001,104758,Primary,22,34,4,20.6,28.4,3.8,21.8,"£41,181"
342,2007,104761,Primary,12,15,2,10.9,11,1.5,21.7,"£40,707"
342,2008,104762,Primary,12,17,3,12,12,2.9,18.9,"£33,288"
342,2010,104763,Primary,30,48,8,26.6,41.2,7.6,23.2,"£39,543"
342,2012,104764,Primary,11,16,2,9.6,11.5,2,23.5,"£40,037"
342,2019,104769,Primary,20,26,3,18.4,17.4,2,24.0,"£38,965"
342,2020,104770,Primary,12,12,1,10.8,8.7,0.9,21.0,"£39,915"
342,2021,104771,Primary,10,15,3,9.4,9.6,2.1,22.5,"£36,974"
342,2022,104772,Primary,14,17,3,12.8,11.6,2.4,20.5,"£38,968"
342,2051,104773,Primary,20,23,4,18.8,15.6,3.2,24.8,"£37,645"
342,2053,104774,Primary,14,20,3,13.6,14.6,2.9,19.4,"£39,565"
342,2056,104775,Primary,29,23,5,28.8,17.2,4.5,19.5,"£35,738"
342,2058,104776,Primary,11,14,1,10.8,11.2,1,20.6,"£37,893"
342,2059,104777,Primary,10,12,3,9.9,8.9,1.9,22.8,"£36,261"
342,2061,104778,Primary,10,13,3,8.9,7,2.4,23.2,"£43,126"
342,2062,104779,Primary,14,9,3,11.6,6.5,2.1,21.7,"£42,311"
342,2063,104780,Primary,9,13,2,8.1,7.5,1.7,25.4,"£39,151"
342,2064,104781,Primary,10,13,2,8.8,7.2,1.1,23.9,"£38,260"
342,2065,104782,Primary,24,31,3,23.7,21.5,2.5,21.8,"£41,719"
342,2066,104783,Primary,20,23,2,18,15.8,2,23.8,"£35,983"
342,2068,104784,Primary,13,16,3,12.3,12.3,2.3,16.8,"£36,700"
342,2070,130259,Primary,29,45,4,28.4,39.4,3.4,20.7,"£36,999"
342,2071,104802,Primary,17,20,2,17,14.9,2,25.8,"£39,471"
342,2072,132188,Primary,13,12,3,12.5,8.9,2.1,17.6,"£37,866"
342,3106,104787,Primary,19,25,3,18.6,19.1,2.7,21.0,"£35,767"
342,3109,104788,Primary,15,10,2,12.3,6.5,1.5,19.9,"£39,288"
342,3205,104790,Primary,13,9,3,11.9,6.6,2.6,22.8,"£36,183"
342,3206,104791,Primary,19,20,4,16,15.4,2.9,19.4,"£40,241"
342,3207,104792,Primary,16,22,4,14.6,16.7,3.7,23.3,"£39,466"
342,3208,130382,Primary,21,30,2,19.4,23.1,2,20.8,"£39,067"
342,3304,145458,Primary,10,13,7,10,9.6,6.1,20.6,"£39,785"
342,3310,142161,Primary,11,19,6,10.6,13.4,4.2,20.9,"£35,912"
342,3320,104797,Primary,9,23,3,8.1,18.3,2,21.0,"£39,403"
342,3321,104798,Primary,11,15,2,9.6,10,2,21.5,"£40,943"
342,3324,142154,Primary,21,31,6,20,20.6,4.6,21.1,"£37,146"
342,3328,104801,Primary,10,11,2,9.2,6.4,1.6,26.7,"£40,207"
342,3404,104804,Primary,9,13,2,8.7,10.6,1.8,20.5,"£40,639"
342,3414,104805,Primary,15,16,2,13.4,14.2,2,22.6,"£37,387"
342,3415,104806,Primary,11,10,2,9.6,8.4,1.6,23.5,"£41,957"
342,3420,104807,Primary,9,9,2,8.6,6.2,1.8,23.1,"£38,170"
342,3430,104809,Primary,10,9,2,8.8,6.1,1.6,23.1,"£41,976"
342,3432,104810,Primary,9,7,3,8.8,6.4,1.7,23.5,"£40,487"
342,3434,104812,Primary,11,17,2,8.2,13.9,1.7,25.2,"£40,945"
342,3450,104813,Primary,12,11,2,9.8,6.6,1.7,21.3,"£38,133"
342,3451,104814,Primary,10,9,2,8.5,4.8,1.6,22.4,"£38,430"
342,3452,104815,Primary,11,10,2,9.6,8.4,1.6,31.3,"£41,957"
342,3453,104816,Primary,9,7,3,8.6,4.9,2.8,27.1,"£36,514"
342,3454,104817,Primary,8,9,2,8,7.3,1.9,25.3,"£40,313"
342,3455,104818,Primary,16,24,3,14.4,15.2,2.8,22.8,"£37,947"
342,3456,104819,Primary,14,5,3,11,2.6,1,22.3,"£39,500"
342,3457,146429,Primary,11,10,2,11,10,2,16.8,"£31,459"
342,3501,146120,Primary,10,13,3,9,7.5,3,23.4,"£38,657"
342,3827,104823,Primary,12,18,2,10.6,12.5,1.8,21.3,"£41,228"
342,3828,134661,Primary,18,18,4,15.6,13.6,2.4,18.8,"£37,825"
342,4050,144327,Secondary,99,33,26,91.7,29,23.5,17.3,"£37,606"
342,4051,104827,Secondary,45,33,17,43.9,25.9,14.5,16.1,"£40,787"
342,4101,104829,Secondary,107,38,20,98.5,33.9,18.2,15.3,"£40,290"
342,4104,144326,Secondary,97,16,30,93.2,12.9,27.8,16.5,"£36,291"
342,4713,104833,Secondary,41,19,11,39,14.7,10.4,15.0,"£39,227"
342,4714,104834,Secondary,76,44,18,70.7,32.8,17.1,16.4,"£41,126"
342,4801,104835,Secondary,49,35,15,48.9,27.5,12.9,16.7,"£42,137"
342,4803,136421,Secondary,72,17,23,69.2,14.4,22,16.4,"£40,732"
342,6905,136141,Secondary,89,28,25,85.3,23.6,23.7,13.9,"£38,572"
343,2004,146313,Primary,9,11,2,8.1,5.1,0.9,25.1,"£36,088"
343,2008,104853,Primary,11,10,2,9.4,7,1.5,17.8,"£40,045"
343,2013,104856,Primary,14,15,4,11.2,9.1,2.5,18.7,"£39,710"
343,2023,104859,Primary,21,36,7,18.6,32.2,4.6,15.4,"£41,139"
343,2030,104860,Primary,22,22,5,20.3,13.4,2.6,21.3,"£40,073"
343,2032,104861,Primary,42,50,18,34,29.6,7,24.0,"£41,283"
343,2034,104862,Primary,23,22,6,20.5,12.9,3.1,23.0,"£40,200"
343,2035,104863,Primary,20,25,5,17.5,15.3,2.9,24.5,"£40,068"
343,2036,104864,Primary,26,27,5,23.9,16.7,4.7,19.8,"£40,547"
343,2038,104865,Primary,23,34,3,20.5,18.4,2,24.3,"£39,361"
343,2047,104866,Primary,11,11,1,10.4,5.4,0.8,16.6,"£37,744"
343,2048,104867,Primary,23,19,6,19.7,12.8,4.4,21.5,"£37,181"
343,2050,104868,Primary,20,24,3,18.3,13.5,2.9,24.1,"£39,438"
343,2053,104869,Primary,10,22,7,9.3,14.2,2.5,23.2,"£39,593"
343,2054,104870,Primary,23,30,6,22.4,21,4.6,17.1,"£37,381"
343,2056,104871,Primary,19,13,10,16.1,9,4.4,22.5,"£38,616"
343,2057,104872,Primary,14,17,2,11.3,13.8,2,27.0,"£40,032"
343,2060,104874,Primary,12,18,7,11.4,12.2,2.9,21.1,"£39,034"
343,2063,146187,Primary,12,13,6,11.1,9.2,2.3,16.9,"£38,431"
343,2066,104878,Primary,20,41,4,18.2,22.3,2.4,21.2,"£38,657"
343,2067,104879,Primary,16,22,7,15.2,11.1,2.4,22.0,"£40,523"
343,2075,104881,Primary,17,17,3,14.4,8.1,2,23.5,"£37,285"
343,2076,104882,Primary,8,13,3,8,8,1.6,25.6,"£40,460"
343,2078,104883,Primary,14,16,11,12.2,12.2,4,21.2,"£35,735"
343,2080,104884,Primary,12,14,2,9.5,8.2,1.6,25.4,"£40,783"
343,2086,104885,Primary,12,6,10,9.7,4.2,3.4,18.9,"£38,956"
343,2087,104886,Primary,11,15,3,10.6,11.4,1.4,19.6,"£41,036"
343,2088,104887,Primary,16,11,3,13.6,7,1.4,21.3,"£38,307"
343,2090,104889,Primary,15,14,1,10.4,4.8,1,19.0,"£38,121"
343,2091,104890,Primary,10,14,4,10,8.2,2.5,21.4,"£39,465"
343,2092,104891,Primary,16,13,3,13.6,7.6,2.7,21.2,"£38,261"
343,2093,104892,Primary,20,27,10,18,21.9,5.7,21.7,"£38,204"
343,3000,104893,Primary,22,15,5,19.6,13.1,4.8,19.8,"£38,372"
343,3010,104894,Primary,10,13,5,8,6.6,3.1,21.5,"£37,397"
343,3020,145453,Primary,16,14,2,14.4,8.8,1.8,22.2,"£39,247"
343,3024,104897,Primary,16,35,5,13.1,15.6,3.5,30.2,"£42,070"
343,3025,104898,Primary,10,9,2,9.5,6.4,1.1,21.8,"£40,391"
343,3303,104900,Primary,11,12,4,8.9,7.4,2.3,25.7,"£39,963"
343,3304,145454,Primary,10,14,2,9.6,11.6,1.8,21.6,"£37,703"
343,3305,104902,Primary,12,10,3,8.9,5.5,1.9,23.5,"£39,798"
343,3307,104903,Primary,15,19,3,9.8,8.5,1.6,21.5,"£40,188"
343,3313,104905,Primary,24,29,6,22,17,4.5,20.1,"£39,241"
343,3316,104906,Primary,10,12,2,9.4,8,1.8,25.4,"£44,470"
343,3322,104910,Primary,11,16,3,9.3,10.5,0.9,23.7,"£39,870"
343,3336,104915,Primary,10,13,3,8.6,7.5,2.4,23.5,"£40,942"
343,3337,104916,Primary,27,41,6,26,30.7,4.4,20.7,"£38,720"
343,3338,104917,Primary,8,11,5,6.3,3.5,1.6,10.6,"£36,439"
343,3339,104918,Primary,20,17,1,17.9,11.6,0.9,20.4,"£38,107"
343,3341,145096,Primary,8,7,4,8,4.2,1.8,26.5,"£35,712"
343,3342,104920,Primary,10,12,2,9.2,7.2,1.6,21.5,"£35,809"
343,3343,104921,Primary,10,16,7,9.1,7,2.6,24.6,"£39,025"
343,3345,104922,Primary,10,10,3,9.4,5.5,2.3,22.0,"£40,754"
343,3351,104925,Primary,9,14,3,8.4,8.3,1.4,25.6,"£39,484"
343,3353,104926,Primary,37,26,29,29.7,15.9,9,24.0,"£40,836"
343,3354,104927,Primary,6,5,0,6,2.4,0,17.3,"£36,802"
343,3355,104928,Primary,15,11,3,14.4,7.9,2.2,23.2,"£40,891"
343,3357,104929,Primary,11,13,2,10.7,9,1.8,17.1,"£35,859"
343,3359,104930,Primary,10,17,1,8.2,10.1,0.7,29.1,"£39,722"
343,3361,104931,Primary,22,21,2,20.5,15.5,1.8,21.8,"£42,458"
343,3362,104932,Primary,20,33,9,18.8,19.4,4.9,21.7,"£41,446"
343,3364,104934,Primary,13,16,3,11,11.8,1.9,21.9,"£39,786"
343,3366,104935,Primary,8,7,1,7.2,6.5,1,19.2,"£38,505"
343,3367,104936,Primary,10,25,2,8.8,7.6,1.2,25.7,"£40,483"
343,3368,104937,Primary,19,20,3,16.2,13,2.1,25.7,"£39,664"
343,3369,104938,Primary,13,13,3,9.6,4.4,1.3,21.7,"£39,083"
343,3374,104940,Primary,23,21,6,21.4,13.8,3.5,20.7,"£39,199"
343,3375,104941,Primary,10,12,3,8.6,6.3,1.1,24.2,"£39,733"
343,3376,104942,Primary,15,20,2,12.1,14.6,1.8,19.1,"£36,607"
343,3378,134343,Primary,21,30,9,20.2,17.9,5.8,22.3,"£37,638"
343,3379,134785,Primary,14,22,2,10.9,17.8,1.2,21.7,"£41,842"
343,3380,134988,Primary,11,15,1,10.1,9.4,1,23.1,"£37,708"
343,3382,135085,Primary,12,17,3,10.1,11,1.7,22.9,"£42,493"
343,3383,132198,Primary,13,19,2,10.6,10.8,1.5,21.4,"£38,618"
343,3384,132208,Primary,20,11,2,20,8.9,2,17.0,"£36,935"
343,3385,134371,Primary,15,16,4,14.1,12,2.2,20.1,"£40,576"
343,4000,138260,Secondary,23,5,8,21.4,4.7,6.3,12.9,"£38,724"
343,4001,141338,Secondary,55,39,17,49.1,27,14.8,13.7,"£41,380"
343,4002,141693,Secondary,47,13,20,44.1,11.4,19.8,14.8,"£43,167"
343,4004,141694,Secondary,48,14,13,41.5,12.2,12.6,13.6,"£40,498"
343,4005,144618,Secondary,38,10,12,34.9,8.5,11.3,17.3,"£42,564"
343,4100,137533,Secondary,87,13,32,79.8,11.4,26,17.5,"£41,013"
343,4101,137436,Secondary,74,10,31,66.4,6.7,24.1,17.3,"£40,822"
343,4105,137514,Secondary,79,17,19,75.5,14.6,15.3,15.4,"£41,323"
343,4106,137612,Secondary,71,32,30,64.2,23.6,21.1,17.4,"£43,010"
343,4108,137297,Secondary,43,7,15,42.2,6.4,14.4,16.8,"£42,335"
343,4109,137604,Secondary,68,13,22,59.2,8.4,18,16.7,"£41,839"
343,4110,104956,Secondary,62,32,17,61.4,25.5,15.6,13.6,"£39,318"
343,4113,137520,Secondary,54,13,14,53.2,11.6,12.5,16.4,"£40,933"
343,4611,104959,Secondary,29,6,14,27.8,5.7,13.1,15.8,"£44,343"
343,4621,104960,Secondary,92,10,34,84.9,7.1,26.4,15.3,"£42,674"
343,4623,104961,Secondary,82,12,25,77,10,21.3,16.5,"£42,785"
343,4624,104962,Secondary,56,7,16,52.9,6.2,14.6,16.7,"£42,344"
343,4800,104964,Secondary,72,21,25,65.4,15.7,21.5,15.9,"£42,843"
344,2000,104988,Primary,23,15,5,18.7,10.7,4.5,20.9,"£39,663"
344,2001,131281,Primary,27,21,10,23.1,18.1,7.1,15.9,"£39,408"
344,2003,144632,Primary,8,10,3,7.6,7.4,2,21.9,"£41,115"
344,2004,146088,Primary,19,8,2,16.4,7.1,2,21.2,"£36,676"
344,2021,104990,Primary,17,19,6,15.6,14.4,4.5,20.1,"£36,810"
344,2048,104991,Primary,31,29,7,28.8,23.8,5.9,17.4,"£33,755"
344,2100,104992,Primary,36,41,15,34.3,31.2,9.5,18.3,"£35,190"
344,2101,104993,Primary,19,14,3,17.6,9.9,3,19.4,"£36,982"
344,2102,104994,Primary,40,50,20,35.1,29.2,9.9,19.9,"£36,361"
344,2104,104995,Primary,43,26,35,37.3,18.8,17.5,23.3,"£37,445"
344,2107,104996,Primary,17,11,3,14.1,7.5,3,14.8,"£38,943"
344,2108,104997,Primary,9,6,4,9,5.4,2.6,15.9,"£32,969"
344,2110,104999,Primary,24,21,8,20.5,15.5,4.3,20.6,"£38,643"
344,2111,105000,Primary,31,20,6,25.5,17.9,5.3,19.5,"£37,940"
344,2112,105001,Primary,12,23,9,11.3,17.4,6.5,20.8,"£40,042"
344,2115,105002,Primary,7,5,2,6,4,1,19.0,"£40,556"
344,2116,105003,Primary,6,5,2,5.8,3.9,1.8,18.6,"£41,213"
344,2117,105004,Primary,17,21,2,14.2,16.1,2,22.3,"£38,663"
344,2118,105005,Primary,24,15,4,20.6,11.8,3.1,18.1,"£36,192"
344,2200,143504,Primary,16,11,3,12.6,7.1,2.4,24.6,"£39,404"
344,2201,105007,Primary,13,6,3,12.5,5.7,2.2,0.0,"£31,047"
344,2203,105009,Primary,16,7,3,13.2,5.1,2.4,26.3,"£36,294"
344,2204,143391,Primary,14,14,5,12.3,10.7,3.5,25.9,"£37,744"
344,2205,105011,Primary,18,26,8,16.8,17.8,4.9,20.1,"£35,554"
344,2210,105013,Primary,13,7,3,11,6.1,1.6,22.2,"£37,194"
344,2212,105015,Primary,11,6,2,9.3,3.1,1,19.7,"£40,193"
344,2214,105017,Primary,13,9,2,10.2,7,1.6,17.3,"£37,721"
344,2215,105018,Primary,9,7,6,8.4,4.4,3.7,25.4,"£39,307"
344,2217,105020,Primary,19,13,4,14.4,10.3,3.6,29.2,"£39,473"
344,2218,105021,Primary,7,10,2,7,5.4,1,25.7,"£39,878"
344,2220,105022,Primary,8,8,4,7.5,6,2.7,26.4,"£40,863"
344,2221,105023,Primary,15,11,3,13.5,6.5,2.3,20.6,"£36,476"
344,2224,105025,Primary,10,11,2,9.4,5.1,1.2,23.5,"£41,252"
344,2225,105026,Primary,10,11,8,8.3,4.8,3.1,29.2,"£43,249"
344,2226,105027,Primary,9,12,2,8.2,7,1.3,22.3,"£41,451"
344,2227,105028,Primary,10,9,6,8.1,6,2.7,25.8,"£38,562"
344,2229,105030,Primary,10,11,3,9.8,6,2.6,31.2,"£39,502"
344,2231,143503,Primary,22,8,4,19.2,8,2.8,21.5,"£38,006"
344,2232,105032,Primary,11,4,2,9.2,4,2,21.0,"£37,387"
344,2234,143501,Primary,24,10,5,21.3,7.1,4.8,20.4,"£36,941"
344,2238,105034,Primary,10,11,3,8,7.3,2.3,26.1,"£39,434"
344,2244,143502,Primary,21,25,4,18,22.1,3,19.2,"£37,058"
344,2250,105038,Primary,13,14,4,10,9.2,2.6,22.1,"£36,763"
344,2252,105039,Primary,22,18,2,17.8,13.2,1.6,13.7,"£37,176"
344,2254,105041,Primary,8,8,2,8,6.3,1.8,18.9,"£33,292"
344,2255,105042,Primary,25,23,7,22.4,18.9,5.5,19.4,"£40,402"
344,2256,105043,Primary,14,18,5,11.8,10.9,3.7,25.4,"£39,210"
344,2258,105045,Primary,18,14,4,17.4,13.5,2.5,18.3,"£37,236"
344,2260,105047,Primary,24,26,15,20.7,17.3,6,19.5,"£37,942"
344,2261,105048,Primary,13,13,3,12.2,12.5,2.8,16.8,"£38,300"
344,2263,105050,Primary,11,11,3,10,8.8,2.6,19.5,"£39,044"
344,2264,105051,Primary,10,8,1,9.1,6.6,1,21.8,"£39,920"
344,2266,105053,Primary,16,21,10,13.1,14.9,6.5,25.3,"£37,017"
344,2268,105055,Primary,7,12,2,7,10.6,1.1,31.9,"£32,391"
344,2270,105056,Primary,16,8,3,14.1,5.8,3,25.9,"£40,367"
344,2274,130324,Primary,18,19,2,15.5,14.8,2,23.2,"£37,691"
344,2275,105060,Primary,21,12,5,19,10,4.3,21.8,"£40,618"
344,2278,140931,Primary,21,21,27,18.7,15.9,17.8,26.7,"£33,856"
344,2279,131587,Primary,12,11,1,10.7,8.5,0.6,19.0,"£39,883"
344,3009,105062,Primary,21,20,4,16.8,10.8,2.9,25.3,"£37,570"
344,3010,105063,Primary,14,11,3,12.1,7.2,2.7,21.8,"£36,572"
344,3011,105064,Primary,16,9,4,15.5,7.4,3.1,13.1,"£34,989"
344,3300,105066,Primary,13,4,2,11,3.1,1.7,22.4,"£38,881"
344,3304,105067,Primary,15,9,6,11.7,6.5,3.2,17.6,"£38,741"
344,3321,105068,Primary,15,8,4,13.8,7,2.5,20.5,"£33,562"
344,3322,105069,Primary,7,7,3,6.6,4.4,2,18.9,"£36,988"
344,3324,105070,Primary,8,5,5,7,3.5,2.2,13.5,"£37,256"
344,3330,105071,Primary,15,15,15,11.5,9.9,6.9,28.3,"£39,172"
344,3331,105072,Primary,18,17,2,16.2,14.1,2,24.4,"£39,458"
344,3333,105073,Primary,16,10,3,14.2,7.7,3,16.2,"£39,977"
344,3335,105074,Primary,22,14,10,18.9,12.2,6.9,22.2,"£37,596"
344,3337,105076,Primary,23,17,8,19.2,10.1,4.1,19.1,"£36,178"
344,3350,105077,Primary,9,10,5,8,6.2,3.7,26.8,"£39,933"
344,3351,105078,Primary,11,13,7,9.7,6.8,3.1,22.7,"£39,028"
